标题	评分	评论人数	总结	详情	链接
超能陆战队	8.7	940891人评价	导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams   主演:斯科特...2014 / 美国 / 喜剧动作科幻动画冒险	Balalala~~~	https://movie.douban.com/subject/11026735/
完美的世界	9.1	288233人评价	导演:克林特·伊斯特伍德ClintEastwood   主演:凯文·科斯特纳KevinCos...1993 / 美国 / 剧情犯罪	坏人的好总是比好人的好来得更感人。	https://movie.douban.com/subject/1300992/
爱在日落黄昏时	8.9	509754人评价	导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...2004 / 美国法国 / 剧情爱情	九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。	https://movie.douban.com/subject/1291990/
无人知晓	9.1	292843人评价	导演:是枝裕和HirokazuKoreeda   主演:柳乐优弥YûyaYagira/北浦爱...2004 / 日本 / 剧情	我的平常生活就是他人的幸福。	https://movie.douban.com/subject/1292337/
消失的爱人	8.7	863127人评价	导演:大卫·芬奇DavidFincher   主演:本·阿弗莱克BenAffleck/罗莎蒙...2014 / 美国 / 剧情犯罪悬疑惊悚	年度最佳date movie。	https://movie.douban.com/subject/21318488/
借东西的小人阿莉埃蒂	8.9	511536人评价	导演:米林宏昌HiromasaYonebayashi   主演:志田未来MiraiShida/神木...2010 / 日本 / 动画奇幻冒险	曾经的那段美好会沉淀为一辈子的记忆。	https://movie.douban.com/subject/4202302/
甜蜜蜜	8.9	491079人评价	导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...1996 / 中国香港 / 剧情爱情	相逢只要一瞬间，等待却像是一辈子。	https://movie.douban.com/subject/1305164/
倩女幽魂	8.8	683027人评价	导演:程小东Siu-TungChing   主演:张国荣LeslieCheung/王祖贤JoeyW...1987 / 中国香港 / 爱情奇幻武侠古装	两张绝世的脸。 	https://movie.douban.com/subject/1297447/
小森林 冬春篇	9.0	354449人评价	导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...2015 / 日本 / 剧情	尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。	https://movie.douban.com/subject/25814707/
侧耳倾听	8.9	429312人评价	导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...1995 / 日本 / 剧情爱情动画	少女情怀总是诗。	https://movie.douban.com/subject/1297052/
时空恋旅人	8.8	604881人评价	导演:理查德·柯蒂斯RichardCurtis   主演:多姆纳尔·格里森DomhnallGl...2013 / 英国 / 喜剧爱情奇幻	把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。	https://movie.douban.com/subject/10577869/
幸福终点站	8.8	524301人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...2004 / 美国 / 喜剧剧情爱情	有时候幸福需要等一等。 	https://movie.douban.com/subject/1292274/
驯龙高手	8.8	705627人评价	导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders   主演:...2010 / 美国 / 动画奇幻冒险	和谐的生活离不开摸头与被摸头。	https://movie.douban.com/subject/2353023/
萤火之森	8.9	492499人评价	导演:大森贵弘TakahiroOmori   主演:佐仓绫音AyaneSakura/内山昂辉K...2011 / 日本 / 剧情爱情动画奇幻	触不到的恋人。	https://movie.douban.com/subject/5989818/
教父3	9.0	341839人评价	导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1990 / 美国 / 剧情犯罪	任何信念的力量，都无法改变命运。	https://movie.douban.com/subject/1294240/
怪兽电力公司	8.8	618263人评价	导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman   主演:约...2001 / 美国 / 儿童喜剧动画奇幻冒险	不要给它起名字，起了名字就有感情了。	https://movie.douban.com/subject/1291579/
玛丽和马克思	8.9	402369人评价	导演:亚当·艾略特AdamElliot   主演:托妮·科莱特ToniCollette/菲利...2009 / 澳大利亚美国 / 剧情喜剧动画	你是我最好的朋友，你是我唯一的朋友 。	https://movie.douban.com/subject/3072124/
一个叫欧维的男人决定去死	8.9	425774人评价	导演:汉内斯·赫尔姆HannesHolm   主演:罗夫·拉斯加德RolfLassgård...2015 / 瑞典 / 剧情	惠及一生的美丽。	https://movie.douban.com/subject/26628357/
寄生虫	8.8	1276831人评价	导演:奉俊昊Joon-hoBong   主演:宋康昊Kang-hoSong/李善均Seon-gyun...2019 / 韩国 / 剧情		https://movie.douban.com/subject/27010768/
玩具总动员3	8.9	475366人评价	导演:李·昂克里奇LeeUnkrich   主演:汤姆·汉克斯TomHanks/蒂姆·艾...2010 / 美国 / 喜剧动画奇幻冒险	跨度十五年的欢乐与泪水。	https://movie.douban.com/subject/1858711/
傲慢与偏见	8.7	735040人评价	导演:乔·怀特JoeWright   主演:凯拉·奈特莉KeiraKnightley/马修·...2005 / 法国英国美国 / 剧情爱情	爱是摈弃傲慢与偏见之后的曙光。	https://movie.douban.com/subject/1418200/
大鱼	8.8	533997人评价	导演:蒂姆·波顿TimBurton   主演:伊万·麦克格雷格EwanMcGregor/阿...2003 / 美国 / 剧情家庭奇幻冒险	抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。	https://movie.douban.com/subject/1291545/
未麻的部屋	9.1	295837人评价	导演:今敏SatoshiKon   主演:岩男润子JunkoIwao/松本梨香RicaMatsu...1997 / 日本 / 动画奇幻惊悚	好的剧本是，就算你猜到了结局也猜不到全部。	https://movie.douban.com/subject/1395091/
神偷奶爸	8.6	888584人评价	导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud   主演:...2010 / 美国法国 / 喜剧动画冒险	Mr. I Don't Care其实也有Care的时候。	https://movie.douban.com/subject/3287562/
告白	8.8	634788人评价	导演:中岛哲也TetsuyaNakashima   主演:松隆子TakakoMatsu/冈田将生...2010 / 日本 / 剧情悬疑	没有一人完全善，也没有一人完全恶。	https://movie.douban.com/subject/4268598/
釜山行	8.6	1111215人评价	导演:延尚昊Sang-hoYeon   主演:孔侑YooGong/郑有美Yu-miJung/马...2016 / 韩国 / 动作惊悚灾难	揭露人性的丧尸题材力作。	https://movie.douban.com/subject/25986180/
被解救的姜戈	8.8	565477人评价	导演:昆汀·塔伦蒂诺QuentinTarantino   主演:杰米·福克斯JamieFoxx/...2012 / 美国 / 剧情动作西部冒险	热血沸腾，那个低俗、性感的无耻混蛋又来了。	https://movie.douban.com/subject/6307447/
阳光姐妹淘	8.8	563356人评价	导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...2011 / 韩国 / 剧情喜剧	再多各自牛逼的时光，也比不上一起傻逼的岁月。 	https://movie.douban.com/subject/4917726/
射雕英雄传之东成西就	8.7	592379人评价	导演:刘镇伟JeffreyLau   主演:梁朝伟TonyLeungChiuWai/林青霞Bri...1993 / 中国香港 / 喜剧奇幻武侠古装	百看不厌。 	https://movie.douban.com/subject/1316510/
哈利·波特与火焰杯	8.7	589775人评价	导演:迈克·内威尔MikeNewell   主演:丹尼尔·雷德克里夫DanielRadclif...2005 / 英国美国 / 悬疑奇幻冒险		https://movie.douban.com/subject/1309055/
哪吒闹海	9.1	238287人评价	导演:王树忱ShuchenWang/严定宪DingxianYan   主演:梁正晖Zhenghui...1979 / 中国大陆 / 冒险动画奇幻	想你时你在闹海。	https://movie.douban.com/subject/1307315/
我是山姆	9.0	313041人评价	导演:杰茜·尼尔森JessieNelson   主演:SeanPenn/DakotaFanning/Mi...2001 / 美国 / 剧情家庭	爱并不需要智商 。	https://movie.douban.com/subject/1306861/
恐怖直播	8.7	607109人评价	导演:金秉祐Byeong-wooKim   主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013 / 韩国 / 剧情犯罪悬疑	恐怖分子的“秋菊打官司”。	https://movie.douban.com/subject/21360417/
新世界	8.9	374721人评价	导演:朴勋政Hoon-jungPark   主演:李政宰Jung-JaeLee/崔岷植Min-sik...2013 / 韩国 / 剧情犯罪	要做就做得狠一点，这样才能活下去。	https://movie.douban.com/subject/10437779/
头号玩家	8.7	1275568人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:泰伊·谢里丹TyeSheri...2018 / 美国 / 动作科幻冒险	写给影迷，动漫迷和游戏迷的一封情书。	https://movie.douban.com/subject/4920389/
血战钢锯岭	8.7	737494人评价	导演:梅尔·吉布森MelGibson   主演:安德鲁·加菲尔德AndrewGarfield/...2016 / 澳大利亚美国 / 剧情传记历史战争	优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。	https://movie.douban.com/subject/26325320/
模仿游戏	8.8	598036人评价	导演:莫滕·泰杜姆MortenTyldum   主演:本尼迪克特·康伯巴奇BenedictC...2014 / 英国美国 / 剧情传记战争同性	他给机器起名“克里斯托弗”，因为这是他初恋的名字。	https://movie.douban.com/subject/10463953/
喜宴	9.0	327602人评价	导演:李安AngLee   主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...1993 / 中国台湾美国 / 剧情喜剧爱情同性家庭	中国家庭的喜怒哀乐忍。	https://movie.douban.com/subject/1303037/
七武士	9.3	181814人评价	导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/志村乔...1954 / 日本 / 动作冒险剧情	时代悲歌。	https://movie.douban.com/subject/1295399/
花样年华	8.7	553342人评价	导演:王家卫KarWaiWong   主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...2000 / 中国香港 / 剧情爱情	偷情本没有这样美。	https://movie.douban.com/subject/1291557/
黑客帝国3：矩阵革命	8.8	418421人评价	导演:拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski   ...2003 / 美国 / 动作科幻	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。	https://movie.douban.com/subject/1302467/
头脑特工队	8.8	563104人评价	导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen  &nb...2015 / 美国 / 喜剧动画冒险	愿我们都不用长大，每一座城堡都能永远存在。	https://movie.douban.com/subject/10533913/
电锯惊魂	8.8	491003人评价	导演:詹姆斯·温JamesWan   主演:雷·沃纳尔LeighWhannell/加利·艾...2004 / 美国 / 悬疑惊悚恐怖	真相就在眼前。	https://movie.douban.com/subject/1417598/
九品芝麻官	8.7	609245人评价	导演:王晶JingWong   主演:周星驰StephenChow/吴孟达ManTatNg/...1994 / 中国香港中国大陆 / 剧情喜剧古装		https://movie.douban.com/subject/1297518/
三块广告牌	8.7	769515人评价	导演:马丁·麦克唐纳MartinMcDonagh   主演:弗兰西斯·麦克多蒙德France...2017 / 美国英国 / 剧情犯罪	怼天怼地，你走后，她与世界为敌。	https://movie.douban.com/subject/26611804/
达拉斯买家俱乐部	8.8	423707人评价	导演:让-马克·瓦雷Jean-MarcVallée   主演:马修·麦康纳MatthewMcCon...2013 / 美国 / 剧情传记同性	Jared Leto的腿比女人还美！	https://movie.douban.com/subject/1793929/
你的名字。	8.5	1292534人评价	导演:新海诚MakotoShinkai   主演:神木隆之介RyûnosukeKamiki/上...2016 / 日本 / 剧情爱情动画	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。	https://movie.douban.com/subject/26683290/
卢旺达饭店	8.9	304157人评价	导演:特瑞·乔治TerryGeorge   主演:唐·钱德尔DonCheadle/苏菲·奥...2004 / 英国南非意大利美国 / 剧情传记历史战争	当这个世界闭上双眼，他却敞开了怀抱。	https://movie.douban.com/subject/1291822/
疯狂原始人	8.7	788305人评价	导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders   主演...2013 / 美国 / 喜剧动画冒险	老少皆宜，这就是好莱坞动画的魅力。	https://movie.douban.com/subject/1907966/
惊魂记	9.0	259883人评价	导演:阿尔弗雷德·希区柯克AlfredHitchcock   主演:安东尼·博金斯Antho...1960 / 美国 / 悬疑惊悚恐怖	故事的反转与反转，分裂电影的始祖。	https://movie.douban.com/subject/1293181/
上帝之城	9.0	283409人评价	导演:费尔南多·梅里尔斯FernandoMeirelles/卡迪亚·兰德KátiaLund  &nbsp...2002 / 巴西法国 / 犯罪剧情	被上帝抛弃了的上帝之城。	https://movie.douban.com/subject/1292208/
谍影重重3	8.8	391970人评价	导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...2007 / 美国德国 / 动作悬疑惊悚	像吃了苏打饼一样干脆的电影。	https://movie.douban.com/subject/1578507/
心迷宫	8.7	477622人评价	导演:忻钰坤YukunXin   主演:霍卫民WeiminHuo/王笑天XiaotianWang...2014 / 中国大陆 / 剧情犯罪悬疑	荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。	https://movie.douban.com/subject/25917973/
风之谷	8.9	335404人评价	导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...1984 / 日本 / 动画奇幻冒险	动画片的圣经。	https://movie.douban.com/subject/1291585/
英雄本色	8.6	495261人评价	导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/狄龙LungTi/张国...1986 / 中国香港 / 剧情动作犯罪	英雄泪短，兄弟情长。 	https://movie.douban.com/subject/1297574/
纵横四海	8.8	390896人评价	导演:吴宇森JohnWoo   主演:周润发Yun-FatChow/张国荣LeslieCheung...1991 / 中国香港 / 剧情喜剧动作犯罪	香港浪漫主义警匪动作片的巅峰之作。	https://movie.douban.com/subject/1295409/
海街日记	8.8	412079人评价	导演:是枝裕和HirokazuKoreeda   主演:绫濑遥HarukaAyase/长泽雅美M...2015 / 日本 / 剧情家庭	是枝裕和的家庭习作。	https://movie.douban.com/subject/25895901/
岁月神偷	8.7	548131人评价	导演:罗启锐AlexLaw   主演:吴君如SandraNg/任达华SimonYam/钟绍...2010 / 中国香港中国大陆 / 剧情家庭	岁月流逝，来日可追。	https://movie.douban.com/subject/3792799/
记忆碎片	8.7	565019人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:盖·皮尔斯GuyPearce/...2000 / 美国 / 犯罪剧情悬疑惊悚	一个针管引发的血案。	https://movie.douban.com/subject/1304447/
色，戒	8.6	706135人评价	导演:李安AngLee   主演:梁朝伟TonyLeungChiuWai/汤唯WeiTang/...2007 / 中国台湾中国大陆美国中国香港 / 剧情爱情情色	假戏真情，爱欲深海	https://movie.douban.com/subject/1828115/
忠犬八公物语	9.2	179562人评价	导演:SeijirôKôyama   主演:山本圭KeiYamamoto/井川比佐志Hisa...1987 / 日本 / 剧情	养狗三日，便会对你终其一生。	https://movie.douban.com/subject/1959195/
爱在午夜降临前	8.9	360771人评价	导演:理查德·林克莱特RichardLinklater   主演:伊桑·霍克EthanHawke...2013 / 美国希腊 / 剧情爱情	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。	https://movie.douban.com/subject/10808442/
绿里奇迹	8.9	298215人评价	导演:FrankDarabont   主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...1999 / 美国 / 犯罪剧情奇幻悬疑	天使暂时离开。	https://movie.douban.com/subject/1300374/
荒蛮故事	8.8	411149人评价	导演:达米安·斯兹弗隆DamiánSzifron   主演:达里奥·葛兰帝内提Darío...2014 / 阿根廷西班牙 / 剧情喜剧犯罪	始于荒诞，止于更荒诞。	https://movie.douban.com/subject/24750126/
茶馆	9.5	112821人评价	导演:谢添TianXie   主演:于是之ShizhiYu/郑榕RongZhen/蓝天野T...1982(中国大陆) / 中国大陆 / 剧情历史		https://movie.douban.com/subject/1461403/
爆裂鼓手	8.7	540086人评价	导演:达米恩·查泽雷DamienChazelle   主演:迈尔斯·特勒MilesTeller/...2014 / 美国 / 剧情音乐	这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。	https://movie.douban.com/subject/25773932/
小偷家族	8.7	767169人评价	导演:是枝裕和HirokazuKoreeda   主演:中川雅也LilyFranky/安藤樱Sa...2018 / 日本 / 剧情犯罪家庭	我们组成了家。	https://movie.douban.com/subject/27622447/
贫民窟的百万富翁	8.6	703993人评价	导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan   主演:戴夫...2008 / 英国 / 剧情爱情	上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁	https://movie.douban.com/subject/2209573/
无敌破坏王	8.7	498508人评价	导演:瑞奇·莫尔RichMoore   主演:约翰·C·赖利JohnC.Reilly/萨拉...2012 / 美国 / 喜剧动画奇幻冒险	迪士尼和皮克斯拿错剧本的产物。	https://movie.douban.com/subject/6534248/
疯狂的石头	8.5	759183人评价	导演:宁浩HaoNing   主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin2006 / 中国大陆中国香港 / 喜剧犯罪	中国版《两杆大烟枪》。	https://movie.douban.com/subject/1862151/
东邪西毒	8.6	541113人评价	导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/林青霞Brigitte...1994 / 中国香港中国台湾 / 剧情动作爱情武侠古装	电影诗。	https://movie.douban.com/subject/1292328/
真爱至上	8.6	681640人评价	导演:理查德·柯蒂斯RichardCurtis   主演:休·格兰特HughGrant/柯林...2003 / 英国美国法国 / 喜剧剧情爱情	爱，是个动词。	https://movie.douban.com/subject/1292401/
冰川时代	8.6	573567人评价	导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge   主演...2002 / 美国 / 喜剧动画冒险	松鼠才是角儿。	https://movie.douban.com/subject/1291578/
雨中曲	9.1	202302人评价	导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly   主演:吉恩·...1952 / 美国 / 喜剧歌舞爱情	骨灰级歌舞片。	https://movie.douban.com/subject/1293460/
恐怖游轮	8.5	784303人评价	导演:克里斯托弗·史密斯ChristopherSmith   主演:梅利莎·乔治Melissa...2009 / 英国澳大利亚 / 剧情悬疑惊悚	不要企图在重复中寻找已经失去的爱。	https://movie.douban.com/subject/3011051/
你看起来好像很好吃	8.9	311818人评价	导演:藤森雅也MasayaFujimori   主演:山口胜平KappeiYamaguchi/爱河...2010 / 日本 / 剧情动画儿童	感情不分食草或者食肉。	https://movie.douban.com/subject/4848115/
黑天鹅	8.6	744042人评价	导演:达伦·阿罗诺夫斯基DarrenAronofsky   主演:娜塔莉·波特曼Natalie...2010 / 美国 / 剧情惊悚	黑暗之美。	https://movie.douban.com/subject/1978709/
2001太空漫游	8.9	290513人评价	导演:斯坦利·库布里克StanleyKubrick   主演:凯尔·杜拉KeirDullea/...1968 / 英国美国 / 科幻惊悚冒险	现代科幻电影的开山之作，最伟大导演的最伟大影片。	https://movie.douban.com/subject/1292226/
魔女宅急便	8.7	425764人评价	导演:宫崎骏HayaoMiyazaki   主演:高山南MinamiTakayama/佐久间玲Re...1989 / 日本 / 动画奇幻冒险	宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。	https://movie.douban.com/subject/1307811/
无间道2	8.7	428335人评价	导演:刘伟强/麦兆辉   主演:陈冠希/余文乐/曾志伟2003 / 中国香港 / 剧情犯罪惊悚		https://movie.douban.com/subject/1307106/
雨人	8.7	379246人评价	导演:巴瑞·莱文森BarryLevinson   主演:达斯汀·霍夫曼DustinHoffman...1988 / 美国 / 剧情	生活在自己的世界里，也可以让周围的人显得可笑和渺小。	https://movie.douban.com/subject/1291870/
遗愿清单	8.7	410797人评价	导演:罗伯·莱纳RobReiner   主演:杰克·尼科尔森JackNicholson/摩根...2007 / 美国 / 冒险喜剧剧情	用剩余不多的时间，去燃烧整个生命。	https://movie.douban.com/subject/1867345/
恋恋笔记本	8.6	623493人评价	导演:尼克·卡索维茨NickCassavetes   主演:瑞恩·高斯林RyanGosling/...2004 / 美国 / 剧情爱情	爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 	https://movie.douban.com/subject/1309163/
牯岭街少年杀人事件	8.9	265876人评价	导演:杨德昌EdwardYang   主演:张震ChenChang/杨静怡LisaYang/张...1991 / 中国台湾 / 剧情犯罪	弱者送给弱者的一刀。	https://movie.douban.com/subject/1292329/
大佛普拉斯	8.7	411138人评价	导演:黄信尧Hsin-yaoHuang   主演:庄益增YizengZhuang/陈竹昇Chu-sh...2017 / 中国台湾 / 剧情喜剧	人们可以登上月球，却永远无法探索人们内心的宇宙。	https://movie.douban.com/subject/27059130/
可可西里	8.9	280775人评价	导演:陆川ChuanLu   主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...2004 / 中国大陆中国香港 / 剧情犯罪	坚硬的信仰。	https://movie.douban.com/subject/1308857/
城市之光	9.3	132676人评价	导演:CharlesChaplin   主演:查理·卓别林CharlesChaplin/弗吉尼亚·...1931 / 美国 / 喜剧剧情爱情	永远的小人物，伟大的卓别林。	https://movie.douban.com/subject/1293908/
背靠背，脸对脸	9.5	109880人评价	导演:黄建新JianxinHuang/杨亚洲YazhouYang   主演:牛振华ZhenhuaN...1994 / 中国大陆中国香港 / 剧情		https://movie.douban.com/subject/1307856/
小丑	8.7	936089人评价	导演:托德·菲利普斯ToddPhillips   主演:杰昆·菲尼克斯JoaquinPhoeni...2019 / 美国加拿大 / 剧情犯罪惊悚		https://movie.douban.com/subject/27119724/
东京教父	9.0	196707人评价	导演:今敏SatoshiKon   主演:江守彻ToruEmori/梅垣义明YoshiakiUme...2003 / 日本 / 剧情喜剧动画		https://movie.douban.com/subject/1310177/
萤火虫之墓	8.7	385366人评价	导演:高畑勋IsaoTakahata   主演:辰己努/白石绫乃/志乃原良子1988 / 日本 / 动画剧情战争	幸福是生生不息，却难以触及的远。 	https://movie.douban.com/subject/1293318/
源代码	8.5	783337人评价	导演:邓肯·琼斯DuncanJones   主演:杰克·吉伦哈尔JakeGyllenhaal/...2011 / 美国加拿大 / 科幻悬疑惊悚	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。	https://movie.douban.com/subject/3075287/
虎口脱险	8.9	235277人评价	导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...1966 / 法国英国 / 喜剧战争	永远看不腻的喜剧。	https://movie.douban.com/subject/1296909/
初恋这件小事	8.5	932279人评价	导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...2010 / 泰国 / 剧情喜剧爱情	黑小鸭速效美白记。	https://movie.douban.com/subject/4739952/
人工智能	8.7	413318人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:海利·乔·奥斯蒙Haley...2001 / 美国英国 / 剧情科幻	对爱的执着，可以超越一切。	https://movie.douban.com/subject/1302827/
海边的曼彻斯特	8.6	472872人评价	导演:肯尼斯·罗纳根KennethLonergan   主演:卡西·阿弗莱克CaseyAffle...2016 / 美国 / 剧情家庭	我们都有权利不与自己的过去和解。	https://movie.douban.com/subject/25980443/
罗生门	8.8	290952人评价	导演:黑泽明AkiraKurosawa   主演:三船敏郎ToshirôMifune/京町子...1950 / 日本 / 剧情犯罪悬疑	人生的N种可能性。	https://movie.douban.com/subject/1291879/
青蛇	8.6	486593人评价	导演:徐克HarkTsui   主演:张曼玉MaggieCheung/王祖贤JoeyWang/...1993 / 中国香港中国大陆 / 剧情爱情奇幻古装	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。	https://movie.douban.com/subject/1303394/
终结者2：审判日	8.8	318297人评价	导演:詹姆斯·卡梅隆JamesCameron   主演:阿诺·施瓦辛格ArnoldSchwarz...1991 / 美国法国 / 动作科幻	少见的超越首部的续集，动作片中的经典。	https://movie.douban.com/subject/1291844/
波西米亚狂想曲	8.6	557004人评价	导演:布莱恩·辛格BryanSinger   主演:拉米·马雷克RamiMalek/本·哈...2018 / 英国美国 / 剧情传记同性音乐		https://movie.douban.com/subject/5300054/
奇迹男孩	8.6	521934人评价	导演:斯蒂芬·卓博斯基StephenChbosky   主演:雅各布·特伦布莱JacobTr...2017 / 美国中国香港 / 剧情儿童家庭	世界不完美，爱会有奇迹。	https://movie.douban.com/subject/26787574/
心灵奇旅	8.7	888248人评价	导演:彼特·道格特PeteDocter/凯普·鲍尔斯KempPowers   主演:杰米·...2020 / 美国 / 动画奇幻音乐		https://movie.douban.com/subject/24733428/
二十二	8.7	277467人评价	导演:郭柯KeGuo   主演:2015 / 中国大陆 / 纪录片	有一些东西不应该被遗忘。	https://movie.douban.com/subject/26430107/
疯狂的麦克斯4：狂暴之路	8.6	489569人评价	导演:乔治·米勒GeorgeMiller   主演:汤姆·哈迪TomHardy/查理兹·塞...2015 / 澳大利亚美国 / 动作科幻冒险	“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~	https://movie.douban.com/subject/3592854/
新龙门客栈	8.7	411521人评价	导演:李惠民RaymondLee   主演:张曼玉MaggieCheung/林青霞Brigitte...1992 / 中国香港中国大陆 / 动作爱情武侠古装	嬉笑怒骂，调风动月。	https://movie.douban.com/subject/1292287/
房间	8.8	351274人评价	导演:伦尼·阿伯拉罕森LennyAbrahamson   主演:布丽·拉尔森BrieLarson...2015 / 爱尔兰加拿大英国美国 / 剧情家庭	被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。	https://movie.douban.com/subject/25724855/
无耻混蛋	8.6	440670人评价	导演:QuentinTarantino   主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...2009 / 德国美国 / 剧情犯罪	昆汀同学越来越变态了，比北野武还杜琪峰。	https://movie.douban.com/subject/1438652/
千钧一发	8.8	267470人评价	导演:安德鲁·尼科尔AndrewNiccol   主演:伊桑·霍克EthanHawke/乌玛...1997 / 美国 / 剧情科幻惊悚	一部能引人思考的科幻励志片。	https://movie.douban.com/subject/1300117/
血钻	8.7	352516人评价	导演:爱德华·兹威克EdwardZwick   主演:莱昂纳多·迪卡普里奥Leonardo...2006 / 美国德国英国 / 剧情惊悚冒险	每个美丽事物背后都是滴血的现实。	https://movie.douban.com/subject/1428175/
步履不停	8.8	258220人评价	导演:是枝裕和HirokazuKoreeda   主演:阿部宽HiroshiAbe/夏川结衣Yu...2008 / 日本 / 剧情家庭	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。	https://movie.douban.com/subject/2222996/
黑客帝国2：重装上阵	8.7	378949人评价	导演:拉娜·沃卓斯基LanaWachowski/莉莉·沃卓斯基LillyWachowski   ...2003 / 美国 / 动作科幻	一个精彩的世界观正在缓缓建立。	https://movie.douban.com/subject/1304141/
魂断蓝桥	8.8	258465人评价	导演:茂文·勒鲁瓦MervynLeRoy   主演:费雯·丽VivienLeigh/罗伯特·...1940 / 美国 / 剧情爱情战争	中国式内在的美国电影。	https://movie.douban.com/subject/1293964/
彗星来的那一夜	8.5	522033人评价	导演:詹姆斯·沃德·布柯特JamesWardByrkit   主演:艾米丽·芭尔多尼Em...2013 / 美国英国 / 科幻悬疑惊悚	小成本大魅力。	https://movie.douban.com/subject/25807345/
崖上的波妞	8.6	448203人评价	导演:宫崎骏HayaoMiyazaki   主演:奈良柚莉爱YuriaNara/土井洋辉Hir...2008 / 日本 / 动画奇幻冒险		https://movie.douban.com/subject/1959877/
战争之王	8.7	339200人评价	导演:安德鲁·尼科尔AndrewNiccol   主演:尼古拉斯·凯奇NicolasCage/...2005 / 法国德国美国 / 剧情犯罪	做一颗让别人需要你的棋子。	https://movie.douban.com/subject/1419936/
爱乐之城	8.4	814609人评价	导演:达米恩·查泽雷DamienChazelle   主演:瑞恩·高斯林RyanGosling/...2016 / 美国 / 剧情爱情歌舞		https://movie.douban.com/subject/25934014/
谍影重重2	8.7	328911人评价	导演:保罗·格林格拉斯PaulGreengrass   主演:马特·达蒙MattDamon/...2004 / 美国德国 / 动作悬疑惊悚	谁说王家卫镜头很晃？	https://movie.douban.com/subject/1308767/
