标题	评分	评论人数	总结	详情	链接
末代皇帝	9.3	802213人评价	导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...1987 / 英国意大利中国大陆法国 / 剧情传记历史	“不要跟我比惨，我比你更惨”再适合这部电影不过了。	https://movie.douban.com/subject/1293172/
寻梦环游记	9.1	1530633人评价	导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina   主演:...2017 / 美国 / 喜剧动画奇幻音乐	死亡不是真的逝去，遗忘才是永恒的消亡。	https://movie.douban.com/subject/20495023/
蝙蝠侠：黑暗骑士	9.2	985900人评价	导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...2008 / 美国英国 / 剧情动作科幻犯罪惊悚	无尽的黑暗。	https://movie.douban.com/subject/1851857/
活着	9.3	772671人评价	导演:张艺谋YimouZhang   主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994 / 中国大陆中国香港 / 剧情历史家庭	张艺谋最好的电影。	https://movie.douban.com/subject/1292365/
哈利·波特与魔法石	9.2	1079080人评价	导演:ChrisColumbus   主演:DanielRadcliffe/EmmaWatson/RupertGrint2001 / 美国英国 / 奇幻冒险	童话世界的开端。	https://movie.douban.com/subject/1295038/
指环王3：王者无敌	9.3	745822人评价	导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2003 / 美国新西兰 / 剧情动作奇幻冒险	史诗的终章。	https://movie.douban.com/subject/1291552/
乱世佳人	9.3	643009人评价	导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor   主演:费...1939 / 美国 / 剧情历史爱情战争	Tomorrow is another day.	https://movie.douban.com/subject/1300267/
素媛	9.3	634407人评价	导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情	受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。	https://movie.douban.com/subject/21937452/
飞屋环游记	9.1	1236383人评价	导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson   主演:爱德...2009 / 美国 / 剧情喜剧动画冒险	最后那些最无聊的事情，才是最值得怀念的。 	https://movie.douban.com/subject/2129039/
我不是药神	9.0	1958782人评价	导演:文牧野MuyeWen   主演:徐峥ZhengXu/王传君ChuanjunWang/周...2018 / 中国大陆 / 剧情喜剧	对我们国家而言，这样的电影多一部是一部。	https://movie.douban.com/subject/26752088/
摔跤吧！爸爸	9.0	1469056人评价	导演:涅提·蒂瓦里NiteshTiwari   主演:阿米尔·汗AamirKhan/法缇玛...2016 / 印度 / 剧情传记运动家庭	你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。	https://movie.douban.com/subject/26387939/
何以为家	9.1	967540人评价	导演:娜丁·拉巴基NadineLabaki   主演:扎因·拉费阿Zainal-Rafeea/...2018 / 黎巴嫩美国法国塞浦路斯卡塔尔英国 / 剧情	凝视卑弱生命，用电影改变命运。	https://movie.douban.com/subject/30170448/
十二怒汉	9.4	446865人评价	导演:SidneyLumet   主演:亨利·方达HenryFonda/马丁·鲍尔萨姆Marti...1957 / 美国 / 剧情	1957年的理想主义。 	https://movie.douban.com/subject/1293182/
哈尔的移动城堡	9.1	940581人评价	导演:宫崎骏HayaoMiyazaki   主演:倍赏千惠子ChiekoBaishô/木村拓...2004 / 日本 / 动画奇幻冒险	带着心爱的人在天空飞翔。	https://movie.douban.com/subject/1308807/
少年派的奇幻漂流	9.1	1269346人评价	导演:李安AngLee   主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012 / 美国中国台湾英国加拿大 / 剧情奇幻冒险	瑰丽壮观、无人能及的冒险之旅。	https://movie.douban.com/subject/1929463/
鬼子来了	9.3	579148人评价	导演:姜文WenJiang   主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000 / 中国大陆 / 剧情喜剧	对敌人的仁慈，就是对自己残忍。	https://movie.douban.com/subject/1291858/
猫鼠游戏	9.1	919912人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:莱昂纳多·迪卡普里奥L...2002 / 美国加拿大 / 传记犯罪剧情	骗子大师和执著警探的你追我跑故事。 	https://movie.douban.com/subject/1305487/
大话西游之月光宝盒	9.0	1141359人评价	导演:刘镇伟JeffreyLau   主演:周星驰StephenChow/吴孟达ManTatNg...1995 / 中国香港中国大陆 / 喜剧爱情奇幻古装	旷古烁今。	https://movie.douban.com/subject/1299398/
天空之城	9.1	766597人评价	导演:宫崎骏HayaoMiyazaki   主演:田中真弓MayumiTanaka/横泽启子Ke...1986 / 日本 / 动画奇幻冒险	对天空的追逐，永不停止。 	https://movie.douban.com/subject/1291583/
让子弹飞	9.0	1568474人评价	导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F...2010 / 中国大陆中国香港 / 剧情喜剧动作西部	你给我翻译翻译，神马叫做TMD的惊喜。	https://movie.douban.com/subject/3742360/
钢琴家	9.3	569648人评价	导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...2002 / 英国法国波兰德国 / 剧情传记战争音乐	音乐能化解仇恨。	https://movie.douban.com/subject/1296736/
指环王2：双塔奇兵	9.2	696856人评价	导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2002 / 美国新西兰 / 剧情动作奇幻冒险	承前启后的史诗篇章。	https://movie.douban.com/subject/1291572/
闻香识女人	9.1	813950人评价	导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...1992 / 美国 / 剧情	史上最美的探戈。	https://movie.douban.com/subject/1298624/
天堂电影院	9.2	641288人评价	导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:菲利普·努瓦雷Philipp...1988 / 意大利法国 / 剧情爱情	那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。	https://movie.douban.com/subject/1291828/
海蒂和爷爷	9.3	520347人评价	导演:阿兰·葛斯彭纳AlainGsponer   主演:阿努克·斯特芬AnukSteffen/...2015 / 德国瑞士 / 剧情冒险家庭	如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。	https://movie.douban.com/subject/25958717/
罗马假日	9.1	893791人评价	导演:威廉·惠勒WilliamWyler   主演:奥黛丽·赫本AudreyHepburn/格...1953 / 美国 / 喜剧剧情爱情	爱情哪怕只有一天。	https://movie.douban.com/subject/1293839/
黑客帝国	9.1	782915人评价	导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...1999 / 美国 / 动作科幻	视觉革命。	https://movie.douban.com/subject/1291843/
指环王1：护戒使者	9.1	786708人评价	导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2001 / 新西兰美国 / 剧情动作奇幻冒险	传说的开始。	https://movie.douban.com/subject/1291571/
大闹天宫	9.4	397593人评价	导演:万籁鸣LaimingWan   主演:邱岳峰YuefengQiu/富润生RunshengFu...1961(中国大陆)/1964(中国大陆)/1978(中国大陆) / 中国大陆 / 剧情动画奇幻古装	经典之作，历久弥新。	https://movie.douban.com/subject/1418019/
死亡诗社	9.1	659301人评价	导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989 / 美国 / 剧情	当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。	https://movie.douban.com/subject/1291548/
教父2	9.3	506641人评价	导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1974 / 美国 / 剧情犯罪	优雅的孤独。	https://movie.douban.com/subject/1299131/
绿皮书	8.9	1509551人评价	导演:彼得·法雷里PeterFarrelly   主演:维果·莫腾森ViggoMortensen/...2018 / 美国中国大陆 / 剧情喜剧传记音乐	去除成见，需要勇气。	https://movie.douban.com/subject/27060077/
辩护人	9.2	553234人评价	导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/金英爱Yeong-ae...2013 / 韩国 / 剧情	电影的现实意义大过电影本身。	https://movie.douban.com/subject/21937445/
狮子王	9.1	776298人评价	导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...1994 / 美国 / 动画冒险歌舞	动物版《哈姆雷特》。	https://movie.douban.com/subject/1301753/
搏击俱乐部	9.0	791177人评价	导演:大卫·芬奇DavidFincher   主演:爱德华·诺顿EdwardNorton/布拉...1999 / 美国德国意大利 / 剧情动作悬疑惊悚	邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。	https://movie.douban.com/subject/1292000/
饮食男女	9.2	569698人评价	导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994 / 中国台湾美国 / 剧情家庭	人生不能像做菜，把所有的料都准备好了才下锅。	https://movie.douban.com/subject/1291818/
美丽心灵	9.1	716693人评价	导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...2001 / 美国 / 传记剧情	爱是一切逻辑和原由。	https://movie.douban.com/subject/1306029/
本杰明·巴顿奇事	9.0	918901人评价	导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/...2008 / 美国 / 剧情爱情奇幻	在时间之河里感受溺水之苦。	https://movie.douban.com/subject/1485260/
窃听风暴	9.2	525623人评价	导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck  &n...2006 / 德国 / 剧情悬疑	别样人生。	https://movie.douban.com/subject/1900841/
穿条纹睡衣的男孩	9.2	512828人评价	导演:马克·赫尔曼MarkHerman   主演:阿萨·巴特菲尔德AsaButterfield...2008 / 英国美国 / 剧情战争	尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。	https://movie.douban.com/subject/3008247/
情书	8.9	1011710人评价	导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...1995 / 日本 / 剧情爱情	暗恋的极致。	https://movie.douban.com/subject/1292220/
两杆大烟枪	9.1	558372人评价	导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran1998 / 英国 / 剧情喜剧犯罪	4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。	https://movie.douban.com/subject/1293350/
西西里的美丽传说	8.9	909960人评价	导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica...2000 / 意大利美国 / 剧情战争情色	美丽无罪。	https://movie.douban.com/subject/1292402/
看不见的客人	8.8	1162536人评价	导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿...2016 / 西班牙 / 剧情犯罪悬疑惊悚	你以为你以为的就是你以为的。	https://movie.douban.com/subject/26580232/
音乐之声	9.1	558932人评价	导演:罗伯特·怀斯RobertWise   主演:朱莉·安德鲁斯JulieAndrews/克...1965 / 美国 / 剧情传记爱情歌舞	用音乐化解仇恨，让歌声串起美好。	https://movie.douban.com/subject/1294408/
拯救大兵瑞恩	9.1	603323人评价	导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks...1998 / 美国 / 剧情战争	美利坚精神输出大片No1.	https://movie.douban.com/subject/1292849/
飞越疯人院	9.1	517102人评价	导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...1975 / 美国 / 剧情	自由万岁。	https://movie.douban.com/subject/1292224/
小鞋子	9.2	379962人评价	导演:马基德·马基迪MajidMajidi   主演:默罕默德·阿米尔·纳吉Mohamma...1997 / 伊朗 / 剧情儿童家庭	奔跑的孩子是天使。	https://movie.douban.com/subject/1303021/
